stop_id,stop_name,stop_lat,stop_lon
70061,Alewife,42.396148,-71.140698
70126,Allston Street,42.348649,-71.137881
170140,Amory Street,42.350901,-71.114318
70083,Andrew,42.330154,-71.057655
70047,Airport,42.374262,-71.030395
70043,Aquarium,42.359784,-71.051652
70156,Arlington,42.351902,-71.070893
70093,Ashmont,42.284508,-71.063833
70278,Assembly,42.392331,-71.077262
170136,Babcock Street,42.351538,-71.119553
70509,Ball Square,42.40038,-71.111331
70014,Back Bay,42.34735,-71.075727
70257,Back of the Hill,42.329369,-71.111046
70176,Beaconsfield,42.335625,-71.140112
70229,Washington Square,42.339471,-71.135139
70148,Blandford Street,42.349165,-71.099821
70055,Beachmont,42.397219,-70.992647
70225,Brandon Hall,42.340053,-71.128869
70038,Bowdoin,42.361365,-71.062037
70158,Boylston,42.352531,-71.064682
70081,Broadway,42.342622,-71.056967
70134,Packard's Corner,42.351891,-71.125067
70178,Brookline Hills,42.331293,-71.126406
70249,Brigham Circle,42.334331,-71.104487
70105,Braintree,42.207424,-71.001645
70144,Boston University Central,42.350013,-71.106902
70146,Boston University East,42.349659,-71.103989
70265,Butler,42.272449,-71.062513
70180,Brookline Village,42.332614,-71.116751
70273,Capen Street,42.267589,-71.087139
70028,Community College,42.373622,-71.069533
70263,Cedar Grove,42.279546,-71.060392
70269,Central Avenue,42.270054,-71.073523
70172,Chestnut Hill,42.326799,-71.164146
70112,Chestnut Hill Avenue,42.33873,-71.152526
70073,Charles/MGH,42.361187,-71.071505
70018,Chinatown,42.352547,-71.062752
70114,Chiswick Road,42.340808,-71.150633
70237,Cleveland Circle,42.336216,-71.149201
70069,Central,42.365304,-71.103621
70154,Copley,42.349871,-71.078049
70219,Coolidge Corner,42.342274,-71.120915
70063,Davis,42.39674,-71.121815
70233,Dean Road,42.337807,-71.141753
70020,Downtown Crossing,42.355518,-71.060225
70166,Eliot,42.318871,-71.21642
70235,Englewood Avenue,42.336964,-71.145867
70513,East Somerville,42.379881,-71.087032
70227,Fairbanks Street,42.33969,-71.131228
70251,Fenwood Road,42.33374,-71.105721
70186,Fenway,42.345328,-71.104269
70089,Fields Corner,42.299993,-71.062021
70001,Forest Hills,42.300926,-71.114129
70505,Gilman Square,42.388043,-71.096956
70039,Government Center,42.359705,-71.059215
70128,Griggs Street,42.348747,-71.1345
70002,Green Street,42.309832,-71.108059
70024,Haymarket,42.363021,-71.05829
70067,Harvard,42.373362,-71.118956
70130,Harvard Avenue,42.350263,-71.131298
70260,Heath Street,42.328316,-71.110252
70213,Hawes Street,42.344758,-71.111761
70152,Hynes Convention Center,42.347888,-71.087903
70006,Jackson Square,42.323132,-71.099592
70085,JFK/UMass,42.320632,-71.052514
70150,Kenmore,42.348949,-71.095169
70071,Kendall/MIT,42.362355,-71.085605
70215,Kent Street,42.344117,-71.114097
70106,Boston College,42.340149,-71.167029
70501,Lechmere,42.371566,-71.076457
70247,Longwood Medical Area,42.33608,-71.099883
70182,Longwood,42.341808,-71.109777
70012,Massachusetts Avenue,42.340927,-71.084188
70275,Mattapan,42.267625,-71.092389
70511,Medford/Tufts,42.408306,-71.11728
70245,Museum of Fine Arts,42.337875,-71.09524
70507,Magoun Square,42.394357,-71.106824
70267,Milton,42.270388,-71.067253
70253,Mission Park,42.333279,-71.109276
70034,Malden Center,42.426677,-71.074381
70045,Maverick,42.369119,-71.03953
70168,Newton Highlands,42.322738,-71.205082
70170,Newton Centre,42.329552,-71.192024
70026,North Station,42.36528,-71.060205
70097,North Quincy,42.27577,-71.030194
70243,Northeastern University,42.339897,-71.09021
70036,Oak Grove,42.437735,-71.070875
70051,Orient Heights,42.386909,-71.004809
70075,Park Street,42.356395,-71.062424
70065,Porter,42.3884,-71.119149
70239,Prudential,42.34557,-71.081696
70103,Quincy Adams,42.233391,-71.007153
70101,Quincy Center,42.251809,-71.005409
70057,Revere Beach,42.40776,-70.992586
70008,Roxbury Crossing,42.330671,-71.096121
70160,Riverside,42.337317,-71.252256
70174,Reservoir,42.335181,-71.147879
70010,Ruggles,42.33649,-71.089684
70255,Riverway,42.331391,-71.111925
70004,Stony Brook,42.317062,-71.104248
70053,Suffolk Downs,42.390422,-70.997323
70087,Savin Hill,42.310603,-71.053678
70211,Saint Mary's Street,42.345884,-71.107697
70091,Shawmut,42.293126,-71.065738
70110,South Street,42.339371,-71.157057
70207,Science Park/West End,42.366664,-71.067666
70079,South Station,42.352271,-71.055242
70022,State,42.358978,-71.057598
70116,Sutherland Road,42.341589,-71.146089
70217,Saint Paul Street,42.34334,-71.116927
70030,Sullivan Square,42.383975,-71.076994
70223,Summit Avenue,42.34112,-71.125652
70241,Symphony,42.342687,-71.085056
70231,Tappan Street,42.338498,-71.138731
70016,Tufts Medical Center,42.349662,-71.063917
70503,Union Square,42.377024,-71.093964
70271,Valley Road,42.268389,-71.081504
70164,Waban,42.325695,-71.230476
70120,Washington Street,42.344329,-71.142385
70032,Wellington,42.401505,-71.077252
70049,Wood Island,42.37974,-71.022818
70099,Wollaston,42.266762,-71.020542
70059,Wonderland,42.413514,-70.991714
70162,Woodland,42.332703,-71.243055
70124,Warren Street,42.348285,-71.140436
